,title,title_split,temp,temp_level,temp_title,temp_score
121,data analyst business operations,data analyst business operations,"(nan, operations data, 60)",,operations data,60
122,associate director - client data business analyst,associate director client data business analyst,"(director, business analyst, 65)",director,business analyst,65
123,head of big data technology and architecture,head of big data technology and architecture,"(department head, data, 66)",department head,data,66
124,analytic data management,analytic data management,"(individual contributer, data management, 80)",individual contributer,data management,80
125,database infrastructure manager,database infrastructure manager,"(manager, database, 38)",manager,database,38
126,senior innovation manager,senior innovation manager,"(manager, nan, 58)",manager,,58
127,compliance analyst,compliance analyst,"(nan, compliance, 60)",,compliance,60
128,head of internal audit,head of internal audit,"(department head, nan, 61)",department head,,61
129,information security administrator,information security administrator,"(nan, information, 57)",,information,57
130,head of operational risk management ,head of operational risk management,"(department head, risk management, 80)",department head,risk management,80
131,compliance officer,compliance officer,"(nan, compliance, 60)",,compliance,60
132,compliance,compliance,"(nan, compliance, 60)",,compliance,60
133,sales manager,sales manager,"(manager, sales, 18)",manager,sales,18
134,manager legal affairs ,manager legal affairs,"(manager, nan, 58)",manager,,58
135,legal & compliance,legal compliance,"(nan, compliance, 60)",,compliance,60
136,compliance officer mlro & data privacy officer ,compliance officer mlro data privacy officer,"(nan, compliance data, 65)",,compliance data,65
137,senior compliance manager,senior compliance manager,"(manager, compliance, 68)",manager,compliance,68
138,head of risk management,head of risk management,"(department head, risk management, 80)",department head,risk management,80
139,responsable audit interne,responsable audit interne,"(nan, nan, 50)",,,50
140,head of information security ,head of information security,"(department head, information, 68)",department head,information,68
141,legal officer,legal officer,"(nan, nan, 50)",,,50
142,legal advisor,legal advisor,"(consultant, nan, 51)",consultant,,51
143,head of compliance,head of compliance,"(department head, compliance, 71)",department head,compliance,71
144,head of legal and compliance,head of legal and compliance,"(department head, compliance, 71)",department head,compliance,71
145,responsable de la sécurité de l'information,responsable de la curit de information,"(nan, information, 57)",,information,57
146,compliance support officer,compliance support officer,"(nan, compliance, 60)",,compliance,60
147,member of the board,member of the board,"(nan, nan, 50)",,,50
148,it manager,it manager,"(manager, nan, 58)",manager,,58
149,responsable du contrôle interne,responsable du contr le interne,"(nan, nan, 50)",,,50
150,"managing director, cro",managing director chief risk officer,"(c-level, chief risk officer, 85)",c-level,chief risk officer,85
151,"assistant vice president, projectmanager",assistant vice president projectmanager,"(vp, nan, 63)",vp,,63
152,risk manager,risk manager,"(manager, nan, 58)",manager,,58
153,senior governance and compliance officer ,senior governance and compliance officer,"(individual contributer, governance compliance, 73)",individual contributer,governance compliance,73
154,it security officer,it security officer,"(nan, nan, 50)",,,50
155,data protection officer,data protection officer,"(nan, data protection, 65)",,data protection,65
156,risk management,risk management,"(individual contributer, risk management, 60)",individual contributer,risk management,60
157,head of legal and compliance / general counsel ,head of legal and compliance general counsel,"(department head, compliance, 71)",department head,compliance,71
158,deputy head of internal control,deputy head of internal control,"(department head, nan, 61)",department head,,61
159,senior risk manager ,senior risk manager,"(manager, nan, 58)",manager,,58
